Scenario,Component,Method,PBIAS,CC,RMSE,ME,ME1,MAE,MAPE
OrigBCC,E,CKF,-28.742472372316247,0.9907946754116173,0.8772157804677182,-0.8252046062532844,1.7391988858217993,0.8418449134866484,53.42923571471329
OrigBCC,E,MCL,-28.17011361559474,0.9833036981771628,0.9064080876320874,-0.8087720225716207,1.73991267992818,0.8348523850038558,55.05830055128696
OrigBCC,E,MSD,-12.398753578598399,0.993620967403808,0.6923990497765659,-0.3559717630524167,1.688486028942437,0.6625936024181448,42.425463177161525
OrigBCC,E,PR,-19.949850234149174,0.9933250916042177,0.734471513353845,-0.5727659087232653,1.7046724971969411,0.7015111436703928,44.83068554148937
OrigBCC,P,CKF,-27.987321395891687,0.9927719909536443,1.0076013924599962,-0.9572100516430423,2.0165768343414583,0.9721731890621982,55.483073314126905
OrigBCC,P,MCL,-29.272181378902236,0.9803876758016475,1.1105804497654677,-1.0011542674289855,2.0367867529335837,1.0115838978509353,57.7151842099926
OrigBCC,P,MSD,-37.830691334349446,0.9308791188534725,1.5472813916139594,-1.293868659083618,2.1270535877361283,1.302255507093549,72.50818027784238
OrigBCC,P,PR,-24.017869406836866,0.9918482313311476,0.8852995414393954,-0.8214486013173425,1.994866885458306,0.8395344162489213,50.428832164034326
OrigBCC,R,CKF,-2.2297089519550104,0.9961779555256202,0.08406803687452412,-0.03315132881647155,0.628554569200405,0.06868702146660548,6.322825816868776
OrigBCC,R,MCL,-3.7775386081874087,0.9966830066945975,0.10503272820984824,-0.056164471334760956,0.6306762036773046,0.09076369614222674,8.101915622509884
OrigBCC,R,MSD,-0.013072245263929357,0.9982481511445184,0.08218444322091702,-0.00019435823708476065,0.6289450268403698,0.07272874705642379,6.681963636471928
OrigBCC,R,PR,-8.803152812737524,0.9889490257614888,0.19948530418094795,-0.13088533965871457,0.6400084610422082,0.16800829887674779,13.509114425090317
OrigBCC,S,CKF,10.542489856058179,0.9829285618895257,0.3044065687518367,-0.09885411657328584,1.2373141958113991,0.2393031796011455,42.14194965702914
OrigBCC,S,MCL,14.527209845755237,0.9834061264238897,0.3294654217315834,-0.13621777352260314,1.2392765895615454,0.26401146311540824,48.044491532919956
OrigBCC,S,MSD,-1.3181957531667763,0.9798807242323261,0.3178715264582888,0.012360370124053518,1.2361499061262395,0.2520907141735977,43.671626083555374
